gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
1465011,Warszawa,52.22844695,21.04326964,2248,25.76917212,1347174,872139,Warszawa,mazowieckie
1261011,Krak¢w,50.05689362,20.00743815,1415,31.01097119,581920,326765,Krak¢w,ma?opolskie
1061011,?¢d?,51.76722087,19.47868414,1117,24.91785175,537027,295198,?¢d?,?¢dzkie
264011,Wroc?aw,51.13599983,17.00228183,1419,27.30663848,483101,255480,Wroc?aw,dolno?l?skie
3064011,Pozna?,52.40253733,16.90442676,1450,22.42683862,400123,221770,Pozna?,wielkopolskie
2261011,Gda?sk,54.3475719,18.66366344,1302,25.44867245,350930,207111,Gda?sk,pomorskie
3262011,Szczecin,53.42082326,14.63417147,1021,28.08916823,299744,153059,Szczecin,zachodniopomorskie
461011,Bydgoszcz,53.13731073,18.05078456,997,28.91614181,265875,138293,Bydgoszcz,kujawsko-pomorskie
663011,Lublin,51.21337028,22.54745877,1035,37.64685959,265190,141717,Lublin,lubelskie
2469011,Katowice,50.22103934,19.01756503,1333,25.56894007,230031,113149,Katowice,?l?skie
2061011,Bia?ystok,53.12820536,23.16309844,951,35.97690021,223193,116711,Bia?ystok,podlaskie
2262011,Gdynia,54.51049856,18.47848438,1326,22.26269023,187546,109277,Gdynia,pomorskie
2464011,Cz?stochowa,50.80303091,19.12703344,970,28.13925994,178815,96424,Cz?stochowa,?l?skie
1463011,Radom,51.40974994,21.1679564,849,41.6578588,165853,84205,Radom,mazowieckie
2475011,Sosnowiec,50.27207214,19.18560594,1005,25.45256243,162878,79768,Sosnowiec,?l?skie
2661011,Kielce,50.85640931,20.61379435,1049,32.58324889,156058,85857,Kielce,?wi?tokrzyskie
463011,Toru?,53.02042465,18.61250904,1021,23.94187057,151257,79409,Toru?,kujawsko-pomorskie
1863011,Rzesz¢w,50.02341154,21.97701411,1041,39.02158788,145841,78331,Rzesz¢w,podkarpackie
2466011,Gliwice,50.30000978,18.63679224,1208,26.8165531,140027,68096,Gliwice,?l?skie
2461011,Bielsko-Bia?a,49.80954893,19.0355463,1185,32.94242156,134062,69922,Bielsko-Bia?a,?l?skie
2862011,Olsztyn,53.7815972,20.46395219,1091,26.08744999,131306,70486,Olsztyn,warmi?sko-mazurskie
2478011,Zabrze,50.31867462,18.79372941,874,27.72580772,130616,50884,Zabrze,?l?skie
2462011,Bytom,50.36694285,18.87532314,791,28.10770412,122221,49506,Bytom,?l?skie
862011,Zielona G¢ra,51.92582057,15.52412266,1260,21.10297006,106839,58551,Zielona G¢ra,lubuskie
2472011,Ruda ?l?ska,50.25926296,18.87071953,971,33.29690882,106795,47587,Ruda ?l?ska,?l?skie
2473011,Rybnik,50.09344709,18.53751071,990,35.12052535,106351,49948,Rybnik,?l?skie
1661011,Opole,50.67102124,17.91985213,1206,22.25821203,100425,52484,Opole,opolskie
2477011,Tychy,50.12438267,19.00035013,1193,31.51266478,98919,49231,Tychy,?l?skie
2465011,D?browa G¢rnicza,50.35860057,19.30598793,1035,26.52445857,96499,49083,D?browa G¢rnicza,?l?skie
1462011,P?ock,52.53338193,19.71579929,1137,32.23225602,95547,50496,P?ock,mazowieckie
861011,Gorz¢w Wielkopolski,52.7339349,15.20899794,853,28.32956147,94912,46838,Gorz¢w Wielkopolski,lubuskie
2861011,Elbl?g,54.20045097,19.44899278,901,29.60914626,93107,43034,Elbl?g,warmi?sko-mazurskie
1263011,Tarn¢w,50.02937288,20.9752672,858,40.9922524,90003,42852,Tarn¢w,ma?opolskie
464011,W?oc?awek,52.65776383,19.04962294,815,29.96242725,87723,40721,W?oc?awek,kujawsko-pomorskie
265011,Wa?brzych,50.7854213,16.28918644,776,24.81311244,87603,39596,Wa?brzych,dolno?l?skie
3261011,Koszalin,54.20014592,16.21383349,1003,22.91359066,83677,42669,Koszalin,zachodniopomorskie
2463011,Chorz¢w,50.29171138,18.96034293,948,22.27555508,81141,37292,Chorz¢w,?l?skie
3061011,Kalisz,51.74159421,18.07499603,1111,26.9409669,79797,40418,Kalisz,wielkopolskie
262011,Legnica,51.20372427,16.17639582,934,31.18469339,76674,35697,Legnica,dolno?l?skie
2468011,Jaworzno,50.20370949,19.28696178,1065,34.32768234,72683,35333,Jaworzno,?l?skie
2263011,S?upsk,54.46381442,17.03802551,904,27.25111985,70957,32817,S?upsk,pomorskie
462011,Grudzi?dz,53.47060964,18.78185215,749,25.24032536,70243,32456,Grudzi?dz,kujawsko-pomorskie
2467011,Jastrz?bie-Zdr¢j,49.95883681,18.61115699,919,39.67857034,69719,32791,Jastrz?bie-Zdr¢j,?l?skie
1262011,Nowy S?cz,49.60472891,20.70945205,889,43.20765335,65879,35540,Nowy S?cz,ma?opolskie
261011,Jelenia G¢ra,50.86380705,15.70603298,892,24.10752058,63239,30729,Jelenia G¢ra,dolno?l?skie
3062011,Konin,52.25026229,18.26761855,939,34.85568874,60041,29866,Konin,wielkopolskie
1464011,Siedlce,52.16297558,22.27271627,1030,46.44095841,59969,31427,Siedlce,mazowieckie
1062011,Piotrk¢w Trybunalski,51.41273234,19.72050164,930,33.07898873,58959,30536,Piotrk¢w Trybunalski,?¢dzkie
1418043,Piaseczno,52.04514965,21.00377807,2091,24.63435201,58549,34391,piaseczy?ski,mazowieckie
3017011,Ostr¢w Wielkopolski,51.64703788,17.81892897,907,35.18413974,58045,30113,ostrowski,wielkopolskie
407011,Inowroc?aw,52.78300511,18.24545927,827,25.21557167,58028,27717,inowroc?awski,kujawsko-pomorskie
211011,Lubin,51.39382176,16.19694102,1326,33.01843882,57258,28581,lubi?ski,dolno?l?skie
3019011,Pi?a,53.13972978,16.75360593,953,24.59670485,57256,29073,pilski,wielkopolskie
2470011,Mys?owice,50.19710099,19.15544649,1085,26.99911478,57035,30501,Mys?owice,?l?skie
2607011,Ostrowiec ?wi?tokrzyski,50.94878046,21.39821785,721,30.38729667,56757,25820,ostrowiecki,?wi?tokrzyskie
2063011,Suwa?ki,54.10584619,22.94100295,751,35.81561742,54036,24319,Suwa?ki,podlaskie
3003011,Gniezno,52.52751373,17.61051095,801,24.36998353,53946,28531,gnie?nie?ski,wielkopolskie
203011,G?og¢w,51.66611023,16.05530718,1099,32.61908432,52942,25948,g?ogowski,dolno?l?skie
3214011,Stargard,53.31140507,15.00325679,819,23.73831776,52510,26215,stargardzki,zachodniopomorskie
1008021,Pabianice,51.66386922,19.3618192,866,30.32344016,52462,27022,pabianicki,?¢dzkie
664011,Zamo??,50.72229712,23.26084775,750,42.84093774,52392,23802,Zamo??,lubelskie
662011,Che?m,51.13838029,23.48499208,735,35.53648069,52044,24465,Che?m,lubelskie
2474011,Siemianowice ?l?skie,50.3202058,19.03076588,939,24.04190791,51901,25389,Siemianowice ?l?skie,?l?skie
1862011,Przemy?l,49.78003098,22.78860667,695,36.19402985,50138,23584,Przemy?l,podkarpackie
1016011,Tomasz¢w Mazowiecki,51.51876677,20.01758663,798,39.30910282,49821,24432,tomaszowski,?¢dzkie
3063011,Leszno,51.83943501,16.57922914,1086,22.5810235,49381,25579,Leszno,wielkopolskie
1818011,Stalowa Wola,50.57106499,22.02417836,776,48.7394958,49193,22729,stalowowolski,podkarpackie
1811011,Mielec,50.27946062,21.48945856,931,44.01586766,48857,23696,mielecki,podkarpackie
2062011,?om?a,53.17875032,22.06504745,812,43.11275577,48707,22970,?om?a,podlaskie
2413041,Tarnowskie G¢ry,50.46491244,18.84552628,1060,28.50943628,48589,24427,tarnog¢rski,?l?skie
1603011,K?dzierzyn-Ko?le,50.34871899,18.23510095,903,27.2870809,47539,21534,k?dzierzy?sko-kozielski,opolskie
2479011,?ory,50.03527722,18.6991896,945,38.39034377,46908,23446,?ory,?l?skie
1421021,Pruszk¢w,52.17202294,20.808464,1408,29.30668621,46580,25919,pruszkowski,mazowieckie
1001011,Be?chat¢w,51.35968453,19.37001063,1402,40.09508716,46389,23978,be?chatowski,?¢dzkie
1607053,Nysa,50.44444897,17.3649663,730,28.83007077,46345,21762,nyski,opolskie
2805011,E?k,53.81897934,22.35622237,636,32.67071789,46316,19418,e?cki,warmi?sko-mazurskie
219011,?widnica,50.85083897,16.49065298,966,26.01928684,45816,22295,?widnicki,dolno?l?skie
661011,Bia?a Podlaska,52.02985858,23.12999194,776,35.48040564,45770,23272,Bia?a Podlaska,lubelskie
2214011,Tczew,54.08608066,18.78530192,787,28.39334538,45024,21579,tczewski,pomorskie
1020031,Zgierz,51.85780168,19.39731232,865,30.0892133,44915,23427,zgierski,?¢dzkie
1219053,Wieliczka,49.97334096,20.06844122,1040,40.38609708,44902,23362,wielicki,ma?opolskie
2401011,B?dzin,50.33887283,19.11821623,987,23.81335479,44190,22374,b?dzi?ski,?l?skie
2471011,Piekary ?l?skie,50.36962453,18.9709695,913,36.92657359,43480,21559,Piekary ?l?skie,?l?skie
2411011,Racib¢rz,50.08648398,18.22243255,808,43.0514006,42586,18385,raciborski,?l?skie
1461011,Ostro??ka,53.08340975,21.59328246,897,38.95766396,41555,21164,Ostro??ka,mazowieckie
2611011,Starachowice,51.03836845,21.08550474,785,31.35551629,40830,20376,starachowicki,?wi?tokrzyskie
1408011,Legionowo,52.40463407,20.93546028,1318,28.06026365,40552,24426,legionowski,mazowieckie
